row_id,service_year,county_code,county_name,payer,age_group_code,age_group_name,sex,unique_member_cnt,svc_code,svc_code_type,svc_code_desc,svc_code_ctg,svc_code_ctg_desc,,member_months,total_paid_amt_sum,total_paid_amt_mean,total_paid_amt_med,insurer_paid_amt_sum,insurer_paid_amt_mean,insurer_paid_amt_med,member_paid_amt_sum,member_paid_amt_mean,member_paid_amt_med
9822468,2016,3,Anoka,COMMERCIAL,2,19 - 44 years,M,34,20550,CPT/HCPCS,INJ TENDON SHEATH/LIGAMENT,156,"Muscles, tendons, joints - Injections, aspirations",42,361,"$7,978.36 ",$234.65 ,$144.89 ,"$5,395.24 ",$158.68 ,$106.56 ,"$2,583.12 ",$75.97 ,$32.91 
9824148,2016,3,Anoka,COMMERCIAL,2,19 - 44 years,M,27,89321,CPT/HCPCS,SEMEN ANAL SPERM DETECTION,206,"Microscopic examination (e.g., lab, toxicology)",32,319,"$1,297.51 ",$48.05 ,$42.25 ,$880.37 ,$32.60 ,$27.60 ,$417.14 ,$15.44 ,$0.00 
9827244,2016,3,Anoka,COMMERCIAL,3,45 - 64 years,F,176,70486,CPT/HCPCS,CT MAXILLOFACIAL W/O DYE,177,CT scan - Head,240,"1,992","$74,313.01 ",$422.23 ,$355.36 ,"$48,181.23 ",$273.75 ,$261.14 ,"$26,131.78 ",$148.47 ,$0.00 
9828468,2016,3,Anoka,COMMERCIAL,3,45 - 64 years,F,14,92537,CPT/HCPCS,CALORIC VSTBLR TEST W/REC,220,Ophthalmologic/otologic diagnosis and treatment,15,168,$943.63 ,$67.40 ,$65.65 ,$717.61 ,$51.25 ,$65.65 ,$226.02 ,$16.14 ,$0.00 
9830628,2016,3,Anoka,COMMERCIAL,3,45 - 64 years,M,26,22845,CPT/HCPCS,INSERT SPINE FIXATION DEVICE,158,Spinal fusion,46,292,"$38,969.29 ","$1,498.81 ","$1,574.83 ","$38,325.03 ","$1,474.03 ","$1,563.12 ",$644.26 ,$24.77 ,$0.00 
9832524,2016,3,Anoka,COMMERCIAL,3,45 - 64 years,M,17,87116,CPT/HCPCS,MYCOBACTERIA CULTURE,206,"Microscopic examination (e.g., lab, toxicology)",23,185,$922.09 ,$54.24 ,$45.84 ,$911.17 ,$53.59 ,$38.98 ,$10.92 ,$0.64 ,$0.00 
9834132,2016,3,Anoka,COMMERCIAL,3,45 - 64 years,M,18,L4350,CPT/HCPCS,ANKLE CONTROL ORTHOS STIRRUP PREFAB,243,DME and supplies,18,213,$943.34 ,$52.40 ,$62.52 ,$412.03 ,$22.89 ,$1.81 ,$531.31 ,$29.51 ,$9.00 
9838428,2016,3,Anoka,COMMERCIAL,5,75 years and older,F,44,83036,CPT/HCPCS,GLYCOSYLATED HEMOGLOBIN TEST,233,Laboratory - Chemistry and hematology,74,528,$459.83 ,$10.45 ,$0.00 ,$424.54 ,$9.64 ,$0.00 ,$35.29 ,$0.80 ,$0.00 
9841884,2016,3,Anoka,MINNESOTA HEALTH CARE PROGRAMS,1,18 years and under,F,60,95004,CPT/HCPCS,PERCUT ALLERGY SKIN TESTS,173,Skin and subcutaneous tissue - Diagnostic (other),62,694,"$7,288.08 ",$121.46 ,$75.00 ,"$7,248.08 ",$120.80 ,$73.12 ,$40.00 ,$0.66 ,$0.00 
9844164,2016,3,Anoka,MINNESOTA HEALTH CARE PROGRAMS,1,18 years and under,M,18,86038,CPT/HCPCS,ANTINUCLEAR ANTIBODIES,235,Laboratory - Other,19,199,$310.01 ,$17.22 ,$16.45 ,$310.01 ,$17.22 ,$16.45 ,$0.00 ,$0.00 ,$0.00 
9845724,2016,3,Anoka,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,F,"1,370",120,REV,Room-Board/Semi-pvt,50001,Room and board (non-nursery) services,"1,634","14,535","$5,318,827.35 ","$3,882.35 ","$2,463.50 ","$5,312,074.18 ","$3,877.42 ","$2,463.50 ","$6,753.17 ",$4.92 ,$0.00 
9847764,2016,3,Anoka,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,F,446,87070,CPT/HCPCS,CULTURE OTHR SPECIMN AEROBIC,206,"Microscopic examination (e.g., lab, toxicology)",498,"4,872","$5,722.33 ",$12.83 ,$12.48 ,"$5,704.63 ",$12.79 ,$12.32 ,$17.70 ,$0.03 ,$0.00 
9849636,2016,3,Anoka,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,F,31,T2040,CPT/HCPCS,FINANCIAL MGMT WAIVER; 15 MIN,237,Ancillary services,47,372,"$1,525.00 ",$49.19 ,$25.00 ,"$1,522.05 ",$49.09 ,$25.00 ,$2.95 ,$0.09 ,$0.00 
9851820,2016,3,Anoka,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,M,79,93976,CPT/HCPCS,VASCULAR STUDY,196,Ultrasound - Abdomen/retroperitoneum - Diagnostic,130,773,"$9,184.78 ",$116.26 ,$110.65 ,"$9,139.46 ",$115.68 ,$110.65 ,$45.32 ,$0.57 ,$0.00 
9853620,2016,3,Anoka,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,F,29,20600,CPT/HCPCS,DRAIN/INJ JOINT/BURSA W/O US,155,Arthrocentesis,38,339,"$1,253.15 ",$43.21 ,$30.58 ,"$1,241.20 ",$42.80 ,$30.58 ,$11.95 ,$0.41 ,$0.00 
9855708,2016,3,Anoka,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,F,56,94729,CPT/HCPCS,CO/MEMBANE DIFFUSE CAPACITY,38,Lung and bronchus procedures - Diagnostic (other),71,651,"$1,438.05 ",$25.67 ,$11.12 ,"$1,399.05 ",$24.98 ,$11.12 ,$39.00 ,$0.69 ,$0.00 
9858492,2016,3,Anoka,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,M,19,72146,CPT/HCPCS,MRI CHEST SPINE W/O DYE,198,MRI (magnetic resonance imaging),24,227,"$5,565.91 ",$292.94 ,$143.59 ,"$5,490.91 ",$288.99 ,$143.45 ,$75.00 ,$3.94 ,$0.00 
9859884,2016,3,Anoka,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,M,17,A4466,CPT/HCPCS,GARMENT BELT SLEEVE OTH ELASTIC EA,243,DME and supplies,20,201,$328.98 ,$19.35 ,$14.50 ,$328.98 ,$19.35 ,$14.50 ,$0.00 ,$0.00 ,$0.00 
9863292,2016,3,Anoka,MINNESOTA HEALTH CARE PROGRAMS,4,65 - 74 years,M,13,97530,CPT/HCPCS,THERAPEUTIC ACTIVITIES,213,Physical/occupational/speech therapy - Exercises,67,142,"$1,143.45 ",$87.95 ,$36.90 ,"$1,143.45 ",$87.95 ,$36.90 ,$0.00 ,$0.00 ,$0.00 
9867468,2016,3,Anoka,MEDICARE,2,19 - 44 years,F,27,90688,CPT/HCPCS,IIV4 VACCINE SPLT 0.5 ML IM,228,Prophylactic vaccinations and inoculations,32,324,$397.40 ,$14.71 ,$17.48 ,$397.40 ,$14.71 ,$17.48 ,$0.00 ,$0.00 ,$0.00 
9870228,2016,3,Anoka,MEDICARE,2,19 - 44 years,M,23,A9585,CPT/HCPCS,INJECTION GADOBUTROL 0.1 ML,243,DME and supplies,43,271,$627.19 ,$27.26 ,$0.00 ,$532.18 ,$23.13 ,$0.00 ,$95.01 ,$4.13 ,$0.00 
9872844,2016,3,Anoka,MEDICARE,3,45 - 64 years,F,36,83718,CPT/HCPCS,ASSAY OF LIPOPROTEIN,233,Laboratory - Chemistry and hematology,39,432,$244.19 ,$6.78 ,$10.66 ,$244.19 ,$6.78 ,$10.66 ,$0.00 ,$0.00 ,$0.00 
9874404,2016,3,Anoka,MEDICARE,3,45 - 64 years,F,33,G8950,CPT/HCPCS,PREHTN/HTN BP DOC & INDICAT F/U DOC,999,HCPCS Level II codes not classified,58,378,$0.01 ,$0.00 ,$0.00 ,$0.01 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
9877260,2016,3,Anoka,MEDICARE,3,45 - 64 years,M,84,87088,CPT/HCPCS,URINE BACTERIA CULTURE,206,"Microscopic examination (e.g., lab, toxicology)",190,986,"$1,553.04 ",$18.48 ,$10.26 ,"$1,483.75 ",$17.66 ,$10.26 ,$69.29 ,$0.82 ,$0.00 
9879108,2016,3,Anoka,MEDICARE,3,45 - 64 years,M,11,Q9962,CPT/HCPCS,HOCM 300-349 MG/ML IODINE CONC ML,243,DME and supplies,23,128,$1.10 ,$0.10 ,$0.00 ,$1.00 ,$0.09 ,$0.00 ,$0.10 ,$0.00 ,$0.00 
9881340,2016,3,Anoka,MEDICARE,4,65 - 74 years,F,11,75898,CPT/HCPCS,FOLLOW-UP ANGIOGRAPHY,191,Arteriogram or venogram (not heart and head),13,131,"$1,079.26 ",$98.11 ,$80.64 ,$997.31 ,$90.66 ,$80.31 ,$81.95 ,$7.45 ,$0.00 
9882612,2016,3,Anoka,MEDICARE,4,65 - 74 years,F,67,97012,CPT/HCPCS,MECHANICAL TRACTION THERAPY,214,"Wound care - Traction, splints, other",448,804,"$3,623.37 ",$54.08 ,$14.84 ,"$2,906.99 ",$43.38 ,$9.10 ,$716.38 ,$10.69 ,$0.00 
9884124,2016,3,Anoka,MEDICARE,4,65 - 74 years,F,27,RUC10,CPT/HCPCS,"Ultra High Rehab , ADL Index 11-16/5-day or readmission return.",311,Skilled nursing facility services (HIPPS),41,305,"$269,107.64 ","$9,966.94 ","$9,038.32 ","$254,752.64 ","$9,435.28 ","$8,478.32 ","$14,355.00 ",$531.66 ,$0.00 
9886380,2016,3,Anoka,MEDICARE,4,65 - 74 years,M,"4,988",80061,CPT/HCPCS,LIPID PANEL,235,Laboratory - Other,"6,113","59,660","$92,583.17 ",$18.56 ,$17.89 ,"$92,272.60 ",$18.49 ,$17.89 ,$310.57 ,$0.06 ,$0.00 
9887652,2016,3,Anoka,MEDICARE,4,65 - 74 years,M,208,A4259,CPT/HCPCS,LANCETS PER BOX OF 100,243,DME and supplies,438,"2,487",$889.09 ,$4.27 ,$2.93 ,$671.61 ,$3.22 ,$2.22 ,$217.48 ,$1.04 ,$0.61 
9889428,2016,3,Anoka,MEDICARE,5,75 years and older,F,12,12004,CPT/HCPCS,RPR S/N/AX/GEN/TRK7.6-12.5CM,171,Skin and subcutaneous tissue - Suture,17,139,"$1,454.82 ",$121.23 ,$68.82 ,"$1,230.61 ",$102.55 ,$68.82 ,$224.21 ,$18.68 ,$0.00 
9891660,2016,3,Anoka,MEDICARE,5,75 years and older,F,47,86704,CPT/HCPCS,HEP B CORE ANTIBODY TOTAL,235,Laboratory - Other,54,553,$641.68 ,$13.65 ,$16.09 ,$641.68 ,$13.65 ,$16.09 ,$0.00 ,$0.00 ,$0.00 
9893076,2016,3,Anoka,MEDICARE,5,75 years and older,F,135,G8985,CPT/HCPCS,CAR MOV HDLG OBJ PROJ GOAL TX OUTST,999,HCPCS Level II codes not classified,335,"1,612","$6,066.91 ",$44.94 ,$0.00 ,"$4,833.85 ",$35.80 ,$0.00 ,"$1,233.06 ",$9.13 ,$0.00 
9895620,2016,3,Anoka,MEDICARE,5,75 years and older,M,283,70551,CPT/HCPCS,MRI BRAIN STEM W/O DYE,198,MRI (magnetic resonance imaging),405,"3,286","$43,111.61 ",$152.33 ,$126.41 ,"$39,167.99 ",$138.40 ,$107.30 ,"$3,943.62 ",$13.93 ,$0.00 
9896916,2016,3,Anoka,MEDICARE,5,75 years and older,M,23,97150,CPT/HCPCS,GROUP THERAPEUTIC PROCEDURES,213,Physical/occupational/speech therapy - Exercises,86,275,$518.01 ,$22.52 ,$13.95 ,$472.28 ,$20.53 ,$11.16 ,$45.73 ,$1.98 ,$0.00 
9899028,2016,5,Becker,COMMERCIAL,1,18 years and under,F,131,99214,CPT/HCPCS,OFFICE O/P EST MOD 30-39 MIN,300,Office/outpatient services - Office visits,181,"1,277","$33,561.25 ",$256.19 ,$191.52 ,"$15,946.54 ",$121.72 ,$89.03 ,"$17,614.71 ",$134.46 ,$124.39 
9902124,2016,5,Becker,COMMERCIAL,2,19 - 44 years,M,39,93005,CPT/HCPCS,ELECTROCARDIOGRAM TRACING,202,Electrocardiogram,65,395,"$7,376.58 ",$189.14 ,$102.60 ,"$5,981.06 ",$153.36 ,$37.35 ,"$1,395.52 ",$35.78 ,$0.00 
9905508,2016,5,Becker,COMMERCIAL,3,45 - 64 years,M,20,96376,CPT/HCPCS,TX/PRO/DX INJ SAME DRUG ADON,231,Therapeutic procedures - Other,27,180,"$4,311.43 ",$215.57 ,$117.39 ,"$2,693.75 ",$134.68 ,$92.40 ,"$1,617.68 ",$80.88 ,$0.00 
9909612,2016,5,Becker,MINNESOTA HEALTH CARE PROGRAMS,1,18 years and under,M,43,73110,CPT/HCPCS,X-RAY EXAM OF WRIST,226,Radiology - Diagnostic (other),119,489,"$3,997.20 ",$92.95 ,$63.01 ,"$3,997.20 ",$92.95 ,$63.01 ,$0.00 ,$0.00 ,$0.00 
9911820,2016,5,Becker,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,F,336,92014,CPT/HCPCS,EYE EXAM&TX ESTAB PT 1/>VST,220,Ophthalmologic/otologic diagnosis and treatment,352,"3,743","$31,468.95 ",$93.65 ,$90.26 ,"$31,229.30 ",$92.94 ,$90.26 ,$239.65 ,$0.71 ,$0.00 
9914940,2016,5,Becker,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,F,11,72170,CPT/HCPCS,X-RAY EXAM OF PELVIS,226,Radiology - Diagnostic (other),16,131,$203.12 ,$18.46 ,$8.76 ,$179.89 ,$16.35 ,$5.60 ,$23.23 ,$2.11 ,$0.00 
9917436,2016,5,Becker,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,M,58,92340,CPT/HCPCS,FIT SPECTACLES MONOFOCAL,220,Ophthalmologic/otologic diagnosis and treatment,59,670,"$1,376.51 ",$23.73 ,$25.46 ,"$1,330.69 ",$22.94 ,$25.46 ,$45.82 ,$0.79 ,$0.00 
9923172,2016,5,Becker,MEDICARE,3,45 - 64 years,F,14,86431,CPT/HCPCS,RHEUMATOID FACTOR QUANT,235,Laboratory - Other,15,155,$41.95 ,$2.99 ,$0.28 ,$41.95 ,$2.99 ,$0.28 ,$0.00 ,$0.00 ,$0.00 
9926268,2016,5,Becker,MEDICARE,4,65 - 74 years,F,138,320,REV,Dx X-Ray,50011,Diagnostic X-ray services,219,"1,615","$4,487.89 ",$32.52 ,$0.00 ,"$4,485.63 ",$32.50 ,$0.00 ,$2.26 ,$0.01 ,$0.00 
9929628,2016,5,Becker,MEDICARE,4,65 - 74 years,M,13,72141,CPT/HCPCS,MRI NECK SPINE W/O DYE,198,MRI (magnetic resonance imaging),21,156,"$2,144.62 ",$164.97 ,$185.04 ,"$1,909.60 ",$146.89 ,$178.43 ,$235.02 ,$18.07 ,$0.00 
9932604,2016,5,Becker,MEDICARE,5,75 years and older,F,79,83550,CPT/HCPCS,IRON BINDING TEST,233,Laboratory - Chemistry and hematology,136,927,$606.66 ,$7.67 ,$11.08 ,$606.66 ,$7.67 ,$11.08 ,$0.00 ,$0.00 ,$0.00 
9935796,2016,5,Becker,MEDICARE,5,75 years and older,M,274,99203,CPT/HCPCS,OFFICE O/P NEW LOW 30-44 MIN,300,Office/outpatient services - Office visits,355,"3,241","$27,515.52 ",$100.42 ,$76.00 ,"$22,361.18 ",$81.61 ,$75.89 ,"$5,154.34 ",$18.81 ,$14.89 
9939180,2016,7,Beltrami,COMMERCIAL,2,19 - 44 years,F,15,A4267,CPT/HCPCS,CONTRACEPTIVE SUPPLY CONDOM MALE EA,243,DME and supplies,23,161,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
9942228,2016,7,Beltrami,COMMERCIAL,3,45 - 64 years,M,19,450,REV,Emerg Room,50022,Emergency room services,23,216,"$29,380.11 ","$1,546.32 ","$1,120.00 ","$28,241.74 ","$1,486.40 ","$1,120.00 ","$1,138.37 ",$59.91 ,$0.00 
9947244,2016,7,Beltrami,MINNESOTA HEALTH CARE PROGRAMS,1,18 years and under,F,474,99392,CPT/HCPCS,PREV VISIT EST AGE 1-4,310,Office/outpatient services - Preventive visits,698,"5,277","$82,237.38 ",$173.49 ,$118.80 ,"$82,237.38 ",$173.49 ,$118.80 ,$0.00 ,$0.00 ,$0.00 
9949452,2016,7,Beltrami,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,F,491,120,REV,Room-Board/Semi-pvt,50001,Room and board (non-nursery) services,581,"5,236","$2,449,459.65 ","$4,988.71 ","$2,896.10 ","$2,447,503.75 ","$4,984.73 ","$2,896.10 ","$1,955.90 ",$3.98 ,$0.00 
9952092,2016,7,Beltrami,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,M,13,610,REV,MRI,50013,MRI - Magnetic resonance imaging,15,124,"$1,883.75 ",$144.90 ,$0.00 ,"$1,871.95 ",$143.99 ,$0.00 ,$11.80 ,$0.90 ,$0.00 
9955380,2016,7,Beltrami,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,F,33,92134,CPT/HCPCS,CPTR OPHTH DX IMG POST SEGMT,220,Ophthalmologic/otologic diagnosis and treatment,102,389,"$2,008.81 ",$60.87 ,$30.22 ,"$1,959.86 ",$59.38 ,$30.22 ,$48.95 ,$1.48 ,$0.00 
9957660,2016,7,Beltrami,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,M,11,92591,CPT/HCPCS,HEARING AID EXAM BOTH EARS,220,Ophthalmologic/otologic diagnosis and treatment,11,122,$522.63 ,$47.51 ,$48.37 ,$513.63 ,$46.69 ,$48.37 ,$9.00 ,$0.81 ,$0.00 
9960828,2016,7,Beltrami,MINNESOTA HEALTH CARE PROGRAMS,5,75 years and older,F,14,82570,CPT/HCPCS,ASSAY OF URINE CREATININE,233,Laboratory - Chemistry and hematology,19,168,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
9964860,2016,7,Beltrami,MEDICARE,3,45 - 64 years,F,12,72131,CPT/HCPCS,CT LUMBAR SPINE W/O DYE,180,CT scan - Other,25,144,"$1,441.64 ",$120.13 ,$74.32 ,"$1,077.92 ",$89.82 ,$59.16 ,$363.72 ,$30.31 ,$10.02 
9967956,2016,7,Beltrami,MEDICARE,3,45 - 64 years,M,247,G0008,CPT/HCPCS,ADMINISTRATION INFLUENZA VIRUS VACC,228,Prophylactic vaccinations and inoculations,312,"2,872","$1,679.73 ",$6.80 ,$0.00 ,"$1,679.73 ",$6.80 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
9971820,2016,7,Beltrami,MEDICARE,4,65 - 74 years,M,41,72100,CPT/HCPCS,X-RAY EXAM L-S SPINE 2/3 VWS,226,Radiology - Diagnostic (other),115,485,"$3,428.82 ",$83.62 ,$43.10 ,"$2,663.36 ",$64.96 ,$35.83 ,$765.46 ,$18.66 ,$10.00 
9974676,2016,7,Beltrami,MEDICARE,5,75 years and older,F,11,84155,CPT/HCPCS,ASSAY OF PROTEIN SERUM,233,Laboratory - Chemistry and hematology,19,127,$23.96 ,$2.17 ,$0.83 ,$23.96 ,$2.17 ,$0.83 ,$0.00 ,$0.00 ,$0.00 
9977220,2016,7,Beltrami,MEDICARE,5,75 years and older,M,52,83690,CPT/HCPCS,ASSAY OF LIPASE,233,Laboratory - Chemistry and hematology,66,588,$9.19 ,$0.17 ,$0.00 ,$9.19 ,$0.17 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
9981372,2016,9,Benton,COMMERCIAL,2,19 - 44 years,F,11,76770,CPT/HCPCS,US EXAM ABDO BACK WALL COMP,196,Ultrasound - Abdomen/retroperitoneum - Diagnostic,18,132,"$4,823.33 ",$438.48 ,$323.98 ,"$2,503.18 ",$227.56 ,$268.85 ,"$2,320.15 ",$210.92 ,$47.17 
9985140,2016,9,Benton,COMMERCIAL,3,45 - 64 years,F,881,80061,CPT/HCPCS,LIPID PANEL,235,Laboratory - Other,971,"9,736","$25,783.31 ",$29.26 ,$25.16 ,"$16,329.99 ",$18.53 ,$21.19 ,"$9,453.32 ",$10.73 ,$0.00 
9987516,2016,9,Benton,COMMERCIAL,3,45 - 64 years,M,23,87340,CPT/HCPCS,HEPATITIS B SURFACE AG IA,206,"Microscopic examination (e.g., lab, toxicology)",24,246,$516.48 ,$22.45 ,$17.21 ,$418.48 ,$18.19 ,$15.19 ,$98.00 ,$4.26 ,$0.00 
9991140,2016,9,Benton,MINNESOTA HEALTH CARE PROGRAMS,1,18 years and under,F,17,99232,CPT/HCPCS,SUBSEQUENT HOSPITAL CARE,302,Hospital inpatient services,59,174,"$8,851.05 ",$520.65 ,$103.66 ,"$8,851.05 ",$520.65 ,$103.66 ,$0.00 ,$0.00 ,$0.00 
9993828,2016,9,Benton,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,F,154,87880,CPT/HCPCS,STREP A ASSAY W/OPTIC,206,"Microscopic examination (e.g., lab, toxicology)",187,"1,728","$2,941.21 ",$19.09 ,$16.82 ,"$2,875.97 ",$18.67 ,$16.82 ,$65.24 ,$0.42 ,$0.00 
9997308,2016,9,Benton,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,F,14,87088,CPT/HCPCS,URINE BACTERIA CULTURE,206,"Microscopic examination (e.g., lab, toxicology)",17,156,$147.84 ,$10.56 ,$11.02 ,$147.84 ,$10.56 ,$11.02 ,$0.00 ,$0.00 ,$0.00 
9785819,2016,1,Aitkin,COMMERCIAL,2,19 - 44 years,F,32,90688,CPT/HCPCS,IIV4 VACCINE SPLT 0.5 ML IM,228,Prophylactic vaccinations and inoculations,32,342,$732.83 ,$22.90 ,$18.00 ,$716.83 ,$22.40 ,$18.00 ,$16.00 ,$0.50 ,$0.00 
9791939,2016,1,Aitkin,MINNESOTA HEALTH CARE PROGRAMS,1,18 years and under,F,89,99392,CPT/HCPCS,PREV VISIT EST AGE 1-4,310,Office/outpatient services - Preventive visits,113,981,"$3,742.31 ",$42.04 ,$0.00 ,"$3,742.31 ",$42.04 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
9796619,2016,1,Aitkin,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,F,11,90670,CPT/HCPCS,PCV13 VACCINE IM,228,Prophylactic vaccinations and inoculations,11,125,"$1,039.26 ",$94.47 ,$117.70 ,"$1,039.26 ",$94.47 ,$117.70 ,$0.00 ,$0.00 ,$0.00 
9802067,2016,1,Aitkin,MEDICARE,3,45 - 64 years,F,25,84460,CPT/HCPCS,ALANINE AMINO (ALT) (SGPT),233,Laboratory - Chemistry and hematology,45,293,$190.42 ,$7.61 ,$0.00 ,$190.42 ,$7.61 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
9805283,2016,1,Aitkin,MEDICARE,4,65 - 74 years,F,15,73721,CPT/HCPCS,MRI JNT OF LWR EXTRE W/O DYE,198,MRI (magnetic resonance imaging),34,180,"$12,732.24 ",$848.81 ,$583.01 ,"$9,837.89 ",$655.85 ,$568.01 ,"$2,894.35 ",$192.95 ,$13.30 
9807707,2016,1,Aitkin,MEDICARE,4,65 - 74 years,M,12,85045,CPT/HCPCS,AUTOMATED RETICULOCYTE COUNT,233,Laboratory - Chemistry and hematology,23,121,$63.54 ,$5.29 ,$0.00 ,$63.54 ,$5.29 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
9810251,2016,1,Aitkin,MEDICARE,5,75 years and older,F,150,99211,CPT/HCPCS,OFFICE O/P EST MINIMAL PROB,300,Office/outpatient services - Office visits,960,"1,742","$10,070.19 ",$67.13 ,$19.75 ,"$8,276.75 ",$55.17 ,$16.15 ,"$1,793.44 ",$11.95 ,$0.00 
